q[kPa]	e1[-]	p'[kPa]	eV[-]
0.00	0.00000	-200.00	0.00000
258.00	-0.01290	-286.00	-0.00516
452.71	-0.02607	-351.70	-0.00910
452.29	-0.03284	-351.37	-0.00908
451.40	-0.03960	-350.68	-0.00904
450.71	-0.04636	-350.14	-0.00901
450.47	-0.05312	-349.96	-0.00900
450.79	-0.06664	-350.21	-0.00901
450.97	-0.08068	-350.35	-0.00902
451.04	-0.09471	-350.40	-0.00902
451.01	-0.10874	-350.38	-0.00902
450.95	-0.12278	-350.33	-0.00902
450.90	-0.13681	-350.30	-0.00902
450.89	-0.15085	-350.28	-0.00902
450.89	-0.16488	-350.29	-0.00902
450.91	-0.17891	-350.30	-0.00902
450.92	-0.19295	-350.31	-0.00902
450.93	-0.20698	-350.31	-0.00902
450.92	-0.22102	-350.31	-0.00902
450.92	-0.23505	-350.31	-0.00902
450.92	-0.24908	-350.31	-0.00902
450.92	-0.26312	-350.30	-0.00902
450.92	-0.27715	-350.30	-0.00902
450.92	-0.29119	-350.31	-0.00902
450.92	-0.30522	-350.31	-0.00902
450.92	-0.31925	-350.31	-0.00902
450.92	-0.33329	-350.31	-0.00902
450.92	-0.34732	-350.31	-0.00902
450.92	-0.36136	-350.31	-0.00902
450.92	-0.37539	-350.31	-0.00902
450.92	-0.38942	-350.31	-0.00902
450.92	-0.40346	-350.31	-0.00902
450.92	-0.41749	-350.31	-0.00902
450.92	-0.43153	-350.31	-0.00902
450.92	-0.44556	-350.31	-0.00902
450.92	-0.45959	-350.31	-0.00902
450.92	-0.47363	-350.31	-0.00902
450.92	-0.48766	-350.31	-0.00902
450.92	-0.50170	-350.31	-0.00902
450.92	-0.51573	-350.31	-0.00902
450.92	-0.52976	-350.31	-0.00902
450.92	-0.54380	-350.31	-0.00902
450.92	-0.55783	-350.31	-0.00902
450.92	-0.57187	-350.31	-0.00902
450.92	-0.58590	-350.31	-0.00902
450.92	-0.59993	-350.31	-0.00902
450.92	-0.61397	-350.31	-0.00902
450.92	-0.62800	-350.31	-0.00902
450.92	-0.64204	-350.31	-0.00902
450.92	-0.65607	-350.31	-0.00902
450.92	-0.67010	-350.31	-0.00902
450.92	-0.68414	-350.31	-0.00902
450.92	-0.69817	-350.31	-0.00902
450.92	-0.71221	-350.31	-0.00902
450.92	-0.72624	-350.31	-0.00902
450.92	-0.74027	-350.31	-0.00902
450.92	-0.75431	-350.31	-0.00902
450.92	-0.76834	-350.31	-0.00902
450.92	-0.78238	-350.31	-0.00902
450.92	-0.79641	-350.31	-0.00902
450.92	-0.81044	-350.31	-0.00902
450.92	-0.82448	-350.31	-0.00902
450.92	-0.83851	-350.31	-0.00902
450.92	-0.85255	-350.31	-0.00902
450.92	-0.86658	-350.31	-0.00902
450.92	-0.88061	-350.31	-0.00902
450.92	-0.89465	-350.31	-0.00902
450.92	-0.90868	-350.31	-0.00902
450.92	-0.92272	-350.31	-0.00902
450.92	-0.93675	-350.31	-0.00902
450.92	-0.95078	-350.31	-0.00902
450.92	-0.96482	-350.31	-0.00902
450.92	-0.97885	-350.31	-0.00902
450.92	-0.99289	-350.31	-0.00902
450.92	-1.00692	-350.31	-0.00902
450.92	-1.02095	-350.31	-0.00902
450.92	-1.03499	-350.31	-0.00902
450.92	-1.04902	-350.31	-0.00902
450.92	-1.06306	-350.31	-0.00902
450.92	-1.07709	-350.31	-0.00902
450.92	-1.09112	-350.31	-0.00902
450.92	-1.10516	-350.31	-0.00902
450.92	-1.11919	-350.31	-0.00902
450.92	-1.13323	-350.31	-0.00902
450.92	-1.14726	-350.31	-0.00902
450.92	-1.16129	-350.31	-0.00902
450.92	-1.17533	-350.31	-0.00902
450.92	-1.18936	-350.31	-0.00902
450.92	-1.20340	-350.31	-0.00902
450.92	-1.21743	-350.31	-0.00902
450.92	-1.23146	-350.31	-0.00902
450.92	-1.24550	-350.31	-0.00902
450.92	-1.25953	-350.31	-0.00902
450.92	-1.27357	-350.31	-0.00902
450.92	-1.28760	-350.31	-0.00902
450.92	-1.30163	-350.31	-0.00902
450.92	-1.31567	-350.31	-0.00902
450.92	-1.32970	-350.31	-0.00902
450.92	-1.34374	-350.31	-0.00902
450.92	-1.35777	-350.31	-0.00902
450.92	-1.37180	-350.31	-0.00902
450.92	-1.38584	-350.31	-0.00902
450.92	-1.39987	-350.31	-0.00902
450.92	-1.41391	-350.31	-0.00902
450.92	-1.42794	-350.31	-0.00902
450.92	-1.44197	-350.31	-0.00902
450.92	-1.45601	-350.31	-0.00902
450.92	-1.47004	-350.31	-0.00902
450.92	-1.48408	-350.31	-0.00902
450.92	-1.49811	-350.31	-0.00902
450.92	-1.51214	-350.31	-0.00902
450.92	-1.52618	-350.31	-0.00902
450.92	-1.54021	-350.31	-0.00902
450.92	-1.55425	-350.31	-0.00902
450.92	-1.56828	-350.31	-0.00902
450.92	-1.58231	-350.31	-0.00902
450.92	-1.59635	-350.31	-0.00902
450.92	-1.61038	-350.31	-0.00902
450.92	-1.62442	-350.31	-0.00902
450.92	-1.63845	-350.31	-0.00902
450.92	-1.65248	-350.31	-0.00902
450.92	-1.66652	-350.31	-0.00902
450.92	-1.68055	-350.31	-0.00902
450.92	-1.69459	-350.31	-0.00902
450.92	-1.70862	-350.31	-0.00902
450.92	-1.72265	-350.31	-0.00902
450.92	-1.73669	-350.31	-0.00902
450.92	-1.75072	-350.31	-0.00902
450.92	-1.76476	-350.31	-0.00902
450.92	-1.77879	-350.31	-0.00902
450.92	-1.79282	-350.31	-0.00902
450.92	-1.80686	-350.31	-0.00902
450.92	-1.82089	-350.31	-0.00902
450.92	-1.83493	-350.31	-0.00902
450.92	-1.84896	-350.31	-0.00902
450.92	-1.86299	-350.31	-0.00902
450.92	-1.87703	-350.31	-0.00902
450.92	-1.89106	-350.31	-0.00902
450.92	-1.90509	-350.31	-0.00902
450.92	-1.91913	-350.31	-0.00902
450.92	-1.93316	-350.31	-0.00902
450.92	-1.94720	-350.31	-0.00902
450.92	-1.96123	-350.31	-0.00902
450.92	-1.97526	-350.31	-0.00902
450.92	-1.98930	-350.31	-0.00902
450.92	-2.00333	-350.31	-0.00902
450.92	-2.01737	-350.31	-0.00902
450.92	-2.03140	-350.31	-0.00902
450.92	-2.04543	-350.31	-0.00902
450.92	-2.05947	-350.31	-0.00902
450.92	-2.07350	-350.31	-0.00902
450.92	-2.08754	-350.31	-0.00902
450.92	-2.10157	-350.31	-0.00902
450.92	-2.11560	-350.31	-0.00902
450.92	-2.12964	-350.31	-0.00902
450.92	-2.14367	-350.31	-0.00902
450.92	-2.15771	-350.31	-0.00902
450.92	-2.17174	-350.31	-0.00902
450.92	-2.18577	-350.31	-0.00902
450.92	-2.19981	-350.31	-0.00902
450.92	-2.21384	-350.31	-0.00902
450.92	-2.22788	-350.31	-0.00902
450.92	-2.24191	-350.31	-0.00902
450.92	-2.25594	-350.31	-0.00902
450.92	-2.26998	-350.31	-0.00902
450.92	-2.28401	-350.31	-0.00902
450.92	-2.29805	-350.31	-0.00902
450.92	-2.31208	-350.31	-0.00902
450.92	-2.32611	-350.31	-0.00902
450.92	-2.34015	-350.31	-0.00902
450.92	-2.35418	-350.31	-0.00902
450.92	-2.36822	-350.31	-0.00902
450.92	-2.38225	-350.31	-0.00902
450.92	-2.39628	-350.31	-0.00902
450.92	-2.41032	-350.31	-0.00902
450.92	-2.42435	-350.31	-0.00902
450.92	-2.43839	-350.31	-0.00902
450.92	-2.45242	-350.31	-0.00902
450.92	-2.46645	-350.31	-0.00902
450.92	-2.48049	-350.31	-0.00902
450.92	-2.49452	-350.31	-0.00902
450.92	-2.50856	-350.31	-0.00902
450.92	-2.52259	-350.31	-0.00902
450.92	-2.53662	-350.31	-0.00902
450.92	-2.55066	-350.31	-0.00902
450.92	-2.56469	-350.31	-0.00902
450.92	-2.57873	-350.31	-0.00902
450.92	-2.59276	-350.31	-0.00902
450.92	-2.60679	-350.31	-0.00902
450.92	-2.62083	-350.31	-0.00902
450.92	-2.63486	-350.31	-0.00902
450.92	-2.64890	-350.31	-0.00902
450.92	-2.66293	-350.31	-0.00902
450.92	-2.67696	-350.31	-0.00902
450.92	-2.69100	-350.31	-0.00902
450.92	-2.70503	-350.31	-0.00902
450.92	-2.71907	-350.31	-0.00902
450.92	-2.73310	-350.31	-0.00902
450.92	-2.74713	-350.31	-0.00902
450.92	-2.76117	-350.31	-0.00902
450.92	-2.77520	-350.31	-0.00902
450.92	-2.78924	-350.31	-0.00902
450.92	-2.80327	-350.31	-0.00902
450.92	-2.81730	-350.31	-0.00902
450.92	-2.83134	-350.31	-0.00902
450.92	-2.84537	-350.31	-0.00902
450.92	-2.85941	-350.31	-0.00902
450.92	-2.87344	-350.31	-0.00902
450.92	-2.88747	-350.31	-0.00902
450.92	-2.90151	-350.31	-0.00902
450.92	-2.91554	-350.31	-0.00902
450.92	-2.92958	-350.31	-0.00902
450.92	-2.94361	-350.31	-0.00902
450.92	-2.95764	-350.31	-0.00902
450.92	-2.97168	-350.31	-0.00902
450.92	-2.98571	-350.31	-0.00902
450.92	-2.99975	-350.31	-0.00902
450.92	-3.01378	-350.31	-0.00902
450.92	-3.02782	-350.31	-0.00902
450.92	-3.04185	-350.31	-0.00902
450.92	-3.05588	-350.31	-0.00902
450.92	-3.06992	-350.31	-0.00902
450.92	-3.08395	-350.31	-0.00902
450.92	-3.09799	-350.31	-0.00902
450.92	-3.11202	-350.31	-0.00902
450.93	-3.12605	-350.31	-0.00902
450.93	-3.14009	-350.31	-0.00902
450.93	-3.15412	-350.31	-0.00902
450.93	-3.16816	-350.31	-0.00902
450.93	-3.18219	-350.31	-0.00902
450.93	-3.19622	-350.32	-0.00902
450.93	-3.21026	-350.32	-0.00902
450.93	-3.22429	-350.32	-0.00902
450.93	-3.23833	-350.32	-0.00902
450.93	-3.25236	-350.32	-0.00902
450.94	-3.26640	-350.32	-0.00902
450.94	-3.28043	-350.32	-0.00902
450.94	-3.29446	-350.32	-0.00902
450.94	-3.30850	-350.32	-0.00902
450.94	-3.32253	-350.33	-0.00902
450.95	-3.33657	-350.33	-0.00902
450.95	-3.35060	-350.33	-0.00902
450.95	-3.36464	-350.33	-0.00902
450.96	-3.37867	-350.34	-0.00902
450.96	-3.39270	-350.34	-0.00902
450.96	-3.40674	-350.34	-0.00902
450.97	-3.42077	-350.34	-0.00902
450.97	-3.43481	-350.35	-0.00902
450.98	-3.44884	-350.35	-0.00902
450.98	-3.46288	-350.36	-0.00902
450.99	-3.47691	-350.36	-0.00902
450.99	-3.49095	-350.37	-0.00902
451.00	-3.50498	-350.37	-0.00902
451.01	-3.51902	-350.38	-0.00902
451.02	-3.53305	-350.38	-0.00902
451.03	-3.54709	-350.39	-0.00902
451.04	-3.56112	-350.40	-0.00902
451.05	-3.57516	-350.41	-0.00902
451.06	-3.58919	-350.42	-0.00903
451.08	-3.60323	-350.43	-0.00903
451.09	-3.61726	-350.44	-0.00903
451.11	-3.63130	-350.45	-0.00903
451.12	-3.64533	-350.47	-0.00903
451.14	-3.65937	-350.48	-0.00903
451.16	-3.67340	-350.50	-0.00903
451.19	-3.68744	-350.51	-0.00903
451.21	-3.70148	-350.53	-0.00903
451.24	-3.71551	-350.56	-0.00903
451.27	-3.72955	-350.58	-0.00903
451.30	-3.74358	-350.60	-0.00904
451.34	-3.75762	-350.63	-0.00904
451.38	-3.77166	-350.66	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
451.42	-3.78569	-350.70	-0.00904
